PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,48003,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,48303,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,48603,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,48903,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,49203,Ashmore Reef,1,14.2244,2
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,49503,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,49803,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,50103,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,50403,Ashmore Reef,1,14.2244,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,50703,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,51003,Ashmore Reef,1,14.2244,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,51303,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,51603,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,51903,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,52203,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,52503,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,52803,Ashmore Reef,2,27.0578,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,53103,Ashmore Reef,2,27.0578,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,53403,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,53703,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,54003,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,54303,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,54603,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,54903,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,55203,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,55503,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,55803,Ashmore Reef,2,27.0578,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,56103,Ashmore Reef,2,27.0578,1
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,56403,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,56703,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,57003,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,57303,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,57603,Ashmore Reef,2,27.0578,0
Mark Meekan,Alex Mason,Conrad Speed,FP_2016_AU-I_01_ASAW_012,57903,Ashmore Reef,2,27.0578,1
