PI,MaxNReader,MeanCountReader,BruvID,FrameNumber,Location,MaxN,TimeToMaxN,MeanCountVideo
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,253,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,254,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,255,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,256,French Polynesia,9,35.53,0
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,257,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,258,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,259,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,260,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,261,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,262,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,263,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,264,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,265,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,266,French Polynesia,9,35.53,3
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,267,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,268,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,269,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,270,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,271,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,272,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,273,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,274,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,275,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,276,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,277,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,278,French Polynesia,9,35.53,2
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,279,French Polynesia,9,35.53,4
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,280,French Polynesia,9,35.53,1
Heithaus,Frances,MarkB,FP_2017_PF_01_MM3_007,281,French Polynesia,9,35.53,1
